15:27:37.842 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
15:27:38.573 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
15:27:38.576 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15:27:39.186 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
15:27:39.510 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15:27:39.863 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@388b9799, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4225b4e2, org.springframework.security.web.context.SecurityContextHolderFilter@35b8b69f, org.springframework.security.web.header.HeaderWriterFilter@3d0f2154, org.springframework.web.filter.CorsFilter@20834c45, org.springframework.security.web.authentication.logout.LogoutFilter@1435feb6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3b67c637, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@31b11287, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@74061ced, org.springframework.security.web.session.SessionManagementFilter@51b1732d, org.springframework.security.web.access.ExceptionTranslationFilter@3ea4dcc5, org.springframework.security.web.access.intercept.AuthorizationFilter@56a69c47]
15:27:40.032 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
15:27:40.046 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path ''
15:27:40.052 [main] INFO  com.square.game.GameApplication - Started GameApplication in 4.747 seconds (process running for 5.827)
15:27:52.479 [http-nio-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:27:52.479 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
15:27:52.480 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
15:40:56.046 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
15:40:56.066 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
15:40:56.078 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
15:40:59.895 [main] INFO  com.square.game.GameApplication - Starting GameApplication using Java 21.0.2 with PID 7768 (C:\Users\ibrahima.coulibaly\Documents\JAVA_SPRING\game\game\target\classes started by ibrahima.coulibaly in C:\Users\ibrahima.coulibaly\Documents\JAVA_SPRING\game)
15:40:59.905 [main] INFO  com.square.game.GameApplication - The following 1 profile is active: "h2"
15:41:00.539 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
